Filename, Percentage Available, Total Days, Available Rows
ASN00014129_precipitation.csv, 22.37, 43625, 9759
ASN00014142_precipitation.csv, 19.15, 100017, 19158
ASN00014143_precipitation.csv, 6.49, 100017, 6488
ASN00014144_precipitation.csv, 6.39, 100017, 6391
ASN00014149_precipitation.csv, 18.40, 100017, 18407
ASN00014163_precipitation.csv, 22.36, 100017, 22367
ASN00014183_precipitation.csv, 19.45, 100017, 19449
ASN00014198_precipitation.csv, 16.90, 100017, 16899
ASN00014208_precipitation.csv, 8.54, 100017, 8542
ASN00014219_precipitation.csv, 16.06, 100017, 16062
ASN00014224_precipitation.csv, 9.72, 100017, 9720
ASN00014226_precipitation.csv, 15.48, 100017, 15480
ASN00014238_precipitation.csv, 11.21, 100017, 11207
ASN00014239_precipitation.csv, 9.60, 100017, 9600
ASN00014246_precipitation.csv, 12.49, 100017, 12492
ASN00014253_precipitation.csv, 11.97, 100017, 11973
ASN00014254_precipitation.csv, 6.14, 100017, 6137
ASN00014256_precipitation.csv, 8.50, 100017, 8497
ASN00014260_precipitation.csv, 4.88, 100017, 4879
ASN00014263_precipitation.csv, 12.38, 100017, 12378
ASN00014264_precipitation.csv, 10.81, 100017, 10808
ASN00014265_precipitation.csv, 9.21, 100017, 9214
ASN00014266_precipitation.csv, 9.67, 100011, 9669
ASN00014272_precipitation.csv, 9.87, 100017, 9870
ASN00014274_precipitation.csv, 9.29, 100017, 9291
ASN00014275_precipitation.csv, 7.10, 100017, 7100
ASN00014277_precipitation.csv, 9.29, 100017, 9293
ASN00014279_precipitation.csv, 9.93, 100017, 9928
ASN00014285_precipitation.csv, 7.87, 100017, 7873
ASN00014289_precipitation.csv, 6.14, 100017, 6146
ASN00014401_precipitation.csv, 36.62, 100017, 36624
ASN00014404_precipitation.csv, 7.29, 100017, 7296
ASN00014405_precipitation.csv, 7.29, 100017, 7289
ASN00014517_precipitation.csv, 8.51, 100017, 8512
ASN00014518_precipitation.csv, 8.86, 100017, 8860
ASN00014602_precipitation.csv, 6.31, 100017, 6310
ASN00014605_precipitation.csv, 5.78, 100017, 5785
ASN00014618_precipitation.csv, 80.59, 51043, 41134
ASN00014621_precipitation.csv, 29.65, 100017, 29656
ASN00014623_precipitation.csv, 35.12, 46265, 16247
ASN00014626_precipitation.csv, 19.76, 100017, 19764
ASN00014627_precipitation.csv, 7.25, 100017, 7252
ASN00014628_precipitation.csv, 15.45, 100017, 15455
ASN00014638_precipitation.csv, 12.04, 100017, 12043
ASN00014639_precipitation.csv, 9.16, 100017, 9161
ASN00014644_precipitation.csv, 5.66, 100017, 5660
ASN00014647_precipitation.csv, 7.00, 100017, 6999
ASN00014648_precipitation.csv, 6.97, 100017, 6968
ASN00014650_precipitation.csv, 5.15, 100017, 5149
ASN00014651_precipitation.csv, 6.63, 100017, 6629
ASN00014652_precipitation.csv, 6.86, 100017, 6858
ASN00014653_precipitation.csv, 5.27, 100017, 5274
ASN00014654_precipitation.csv, 6.25, 100017, 6255
ASN00014703_precipitation.csv, 19.75, 100017, 19758
ASN00014704_precipitation.csv, 18.80, 100017, 18803
ASN00014705_precipitation.csv, 14.87, 100017, 14871
ASN00014723_precipitation.csv, 10.09, 100017, 10093
ASN00014729_precipitation.csv, 9.61, 100017, 9607
ASN00014730_precipitation.csv, 7.79, 100017, 7796
ASN00014732_precipitation.csv, 4.56, 100017, 4563
ASN00014801_precipitation.csv, 6.85, 100017, 6851
ASN00014803_precipitation.csv, 20.59, 100017, 20594
ASN00014806_precipitation.csv, 8.20, 100017, 8202
ASN00014807_precipitation.csv, 16.24, 100017, 16246
ASN00014810_precipitation.csv, 10.30, 100017, 10305
ASN00014814_precipitation.csv, 63.96, 42489, 27175
ASN00014816_precipitation.csv, 18.13, 100017, 18136
ASN00014817_precipitation.csv, 56.65, 44801, 25380
ASN00014820_precipitation.csv, 83.20, 42296, 35190
ASN00014821_precipitation.csv, 41.35, 100017, 41356
ASN00014823_precipitation.csv, 29.34, 99869, 29301
ASN00014825_precipitation.csv, 48.74, 100017, 48747
ASN00014828_precipitation.csv, 4.50, 100017, 4497
ASN00014829_precipitation.csv, 21.91, 100017, 21910
ASN00014830_precipitation.csv, 11.14, 100017, 11140
ASN00014840_precipitation.csv, 17.81, 100017, 17815
ASN00014847_precipitation.csv, 19.46, 100017, 19464
ASN00014854_precipitation.csv, 4.56, 100017, 4556
ASN00014856_precipitation.csv, 8.41, 100017, 8414
ASN00014857_precipitation.csv, 13.88, 100017, 13882
ASN00014864_precipitation.csv, 10.39, 100017, 10395
ASN00014865_precipitation.csv, 8.68, 100017, 8677
